Timestamp,State,County,FIPS
3/19/2020 11:14:00,WA,King,53033
3/19/2020 15:11:00,WA,King,53033
3/19/2020 15:19:00,UT,Grand,49019
3/19/2020 15:52:00,NV,Storey,32029
3/19/2020 18:19:00,OK,Jackson,40065
3/20/2020 3:07:00,NY,Erie,36029
3/20/2020 3:19:00,OR,Lincoln,41041
3/20/2020 8:57:00,WA,Snohomish,53061
3/20/2020 9:27:00,TX,Williamson,48491
3/20/2020 11:22:00,NY,Ontario,36069
3/20/2020 12:55:00,WA,Pierce,53053
3/20/2020 13:47:00,OR,Clackamas,41005
3/20/2020 14:33:00,WA,King,53033
3/20/2020 14:46:00,CA,San Joaquin,6077
3/20/2020 14:48:00,CA,Santa Cruz,6087
3/20/2020 14:52:00,WA,King,53033
3/20/2020 14:59:00,NY,Kings,36047
3/20/2020 15:18:00,WA,King,53033
3/20/2020 16:31:00,FL,Broward,12011
3/20/2020 16:41:00,MS,Hancock,28045
3/20/2020 19:11:00,MI,Wayne,26163
3/20/2020 19:32:00,OR,Crook,41013
3/20/2020 19:53:00,NY,New York,36061
3/20/2020 20:00:00,CA,Los Angeles,6037
3/20/2020 21:32:00,CA,Sonoma,6097
3/20/2020 22:19:00,NV,Washoe,32031
3/20/2020 22:46:00,WA,Benton,53005
3/20/2020 22:55:00,OR,Montgomery,20125
3/20/2020 22:57:00,OR,Clackamas,41005
3/20/2020 22:59:00,CA,Montgomery,20125
3/20/2020 23:00:00,VA,Chesapeake city,51550
3/20/2020 23:07:00,CA,Alameda,6001
3/20/2020 23:13:00,CA,Santa Clara,6085
3/20/2020 23:26:00,MI,Washtenaw,26161
3/20/2020 23:27:00,MO,Clay,29047
3/20/2020 23:29:00,MT,Missoula,30063
3/20/2020 23:38:00,MO,St. Louis,29189
3/20/2020 23:47:00,NY,Bronx,36005
3/20/2020 23:54:00,NY,New York,36061
3/21/2020 0:08:00,CA,Alameda,6001
3/21/2020 5:14:00,PA,Philadelphia,42101
3/21/2020 6:08:00,CA,Orange,6059
3/21/2020 6:50:00,WA,Thurston,53067
3/21/2020 6:51:00,WA,Clallam,53009
3/21/2020 7:17:00,CA,Riverside,6065
3/21/2020 7:59:00,NY,Queens,36081
3/21/2020 9:08:00,WV,Cabell,54011
3/21/2020 9:14:00,NY,Kings,36047
3/21/2020 9:38:00,CO,Larimer,8069
3/21/2020 10:50:00,CA,Los Angeles,6037
3/21/2020 10:58:00,WA,Snohomish,53061
3/21/2020 11:28:00,CA,San Francisco,6075
3/21/2020 11:39:00,MS,Harrison,28047
3/21/2020 11:52:00,NY,New York,36061
3/21/2020 12:56:00,CA,Santa Clara,6085
3/21/2020 13:05:00,OK,Oklahoma,40109
